dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,59.144061,211.676576,0.006480,0.647965,32.398231,1619.911550,0.000017
0.020000,59.144061,211.676576,0.032398,1.943894,64.796462,1619.911550,0.000005
0.020000,59.183392,211.676575,0.084235,3.239823,64.796462,0.000000,6.283168
0.020000,59.261147,211.676573,0.161991,4.535752,64.796462,-0.000000,6.283135
0.020000,59.364822,211.676565,0.265665,5.831682,64.796462,0.000000,6.283092
0.020000,59.494415,211.676550,0.395258,7.127611,64.796462,0.000000,6.283039
0.020000,59.649926,211.676522,0.550770,8.423540,64.796462,-0.000000,6.282979
0.020000,59.831356,211.676479,0.732200,9.719469,64.796462,0.000000,6.282912
0.020000,60.038705,211.676414,0.939549,11.015399,64.796462,-0.000000,6.282839
0.020000,60.271972,211.676324,1.172816,12.311328,64.796462,0.000000,6.282763
0.020000,60.531158,211.676205,1.432002,13.607257,64.796462,0.000000,6.282685
0.020000,60.816262,211.676051,1.717106,14.903186,64.796462,0.000000,6.282608
0.020000,61.127285,211.675859,2.028129,16.199115,64.796462,-0.000000,6.282534
0.020000,61.464227,211.675628,2.365071,17.495045,64.796462,0.000000,6.282465
0.020000,61.827087,211.675355,2.727931,18.790974,64.796462,-0.000000,6.282404
0.020000,62.215866,211.675041,3.116710,20.086903,64.796462,0.000000,6.282355
0.020000,62.630563,211.674689,3.531407,21.382832,64.796462,-0.000000,6.282321
0.020000,63.071179,211.674304,3.972023,22.678762,64.796462,0.000000,6.282304
0.020000,63.537713,211.673893,4.438558,23.974691,64.796462,0.000000,6.282310
0.020000,64.030166,211.673469,4.931011,25.270620,64.796462,-0.000000,6.282341
0.020000,64.548537,211.673045,5.449382,26.566549,64.796462,0.000000,6.282401
0.020000,65.092828,211.672643,5.993673,27.862479,64.796462,0.000000,6.282496
0.020000,65.663036,211.672286,6.563882,29.158408,64.796462,-0.000000,6.282629
0.020000,66.259164,211.672006,7.160009,30.454337,64.796462,0.000000,6.282806
0.020000,66.881210,211.671838,7.782055,31.750266,64.796462,-0.000000,6.283031
0.020000,67.529174,211.671826,8.430020,33.046196,64.796462,0.000000,0.000125
0.020000,68.203057,211.672021,9.103903,34.342125,64.796462,0.000000,0.000462
0.020000,68.902859,211.672482,9.803705,35.638054,64.796462,0.000000,0.000864
0.020000,69.628579,211.673277,10.529425,36.933983,64.796462,-0.000000,0.001337
0.020000,70.380217,211.674485,11.281064,38.229913,64.796462,0.000000,0.001886
0.020000,71.157773,211.676193,12.058622,39.525842,64.796462,0.000000,0.002518
0.020000,71.961245,211.678501,12.862098,40.821771,64.796462,0.000000,0.003239
0.020000,72.790635,211.681521,13.691492,42.117700,64.796462,0.000000,0.004056
0.020000,73.645939,211.685378,14.546806,43.413630,64.796462,0.000000,0.004976
0.020000,74.527158,211.690211,15.428038,44.709559,64.796462,0.000000,0.006006
0.020000,75.434289,211.696173,16.335188,46.005488,64.796462,-0.000000,0.007154
0.020000,76.367329,211.703435,17.268257,47.301417,64.796462,0.000000,0.008427
0.020000,77.326277,211.712182,18.227245,48.597346,64.796462,0.000000,0.009832
0.020000,78.311128,211.722619,19.212151,49.893276,64.796462,0.000000,0.011379
0.020000,79.321877,211.734968,20.222976,51.189205,64.796462,0.000000,0.013074
0.020000,80.358519,211.749473,21.259719,52.485134,64.796462,0.000000,0.014928
0.020000,81.421046,211.766397,22.322381,53.781063,64.796462,-0.000000,0.016947
0.020000,82.509449,211.786027,23.410962,55.076993,64.796462,0.000000,0.019142
0.020000,83.623718,211.808673,24.525461,56.372922,64.796462,0.000000,0.021521
0.020000,84.763839,211.834667,25.665879,57.668851,64.796462,-0.000000,0.024094
0.020000,85.929797,211.864369,26.832215,58.964780,64.796462,0.000000,0.026869
0.020000,87.121572,211.898166,28.024470,60.260710,64.796462,0.000000,0.029858
0.020000,88.339143,211.936471,29.242643,61.556639,64.796462,-0.000000,0.033069
0.020000,89.582482,211.979728,30.486735,62.852568,64.796462,0.000000,0.036513
0.020000,90.851559,212.028410,31.756746,64.148497,64.796462,0.000000,0.040199
0.020000,92.146336,212.083023,33.052675,65.444427,64.796462,-0.000000,0.044139
0.020000,93.466771,212.144104,34.374523,66.740356,64.796462,0.000000,0.048343
0.020000,94.812813,212.212225,35.722289,68.036285,64.796462,-0.000000,0.052820
0.020000,96.184406,212.287993,37.095974,69.332214,64.796462,0.000000,0.057583
0.020000,97.581481,212.372052,38.495578,70.628144,64.796462,-0.000000,0.062642
0.020000,99.003963,212.465082,39.921100,71.924073,64.796462,0.000000,0.068007
0.020000,100.451762,212.567801,41.372541,73.220002,64.796462,-0.000000,0.073689
0.020000,101.924779,212.680967,42.849900,74.515931,64.796462,0.000000,0.079700
0.020000,103.422897,212.805377,44.353178,75.811861,64.796462,0.000000,0.086048
0.020000,104.873109,212.936490,45.882375,77.107790,64.796462,-0.000000,0.095599
0.020000,106.420167,213.094485,47.437490,78.403719,64.796462,0.000000,0.107876
0.020000,107.990941,213.274226,49.018523,79.699648,64.796462,-0.000000,0.119913
0.020000,109.585178,213.475900,50.625476,80.995577,64.796462,0.000000,0.131674
0.020000,111.202641,213.699620,52.258347,82.291507,64.796462,0.000000,0.143128
0.020000,112.843110,213.945419,53.917136,83.587436,64.796462,0.000000,0.154241
0.020000,114.506383,214.213252,55.601844,84.883365,64.796462,0.000000,0.164980
0.020000,116.192287,214.502987,57.312471,86.179294,64.796462,-0.000000,0.175313
0.020000,117.900672,214.814408,59.049016,87.475224,64.796462,0.000000,0.185207
0.020000,119.631423,215.147214,60.811480,88.771153,64.796462,-0.000000,0.194630
0.020000,121.384454,215.501011,62.599862,90.067082,64.796462,0.000000,0.203552
0.020000,123.159718,215.875317,64.414163,91.363011,64.796462,0.000000,0.211940
0.020000,124.957206,216.269559,66.254382,92.658941,64.796462,0.000000,0.219765
0.020000,126.776950,216.683066,68.120520,93.954870,64.796462,-0.000000,0.226995
0.020000,128.619024,217.115073,70.012577,95.250799,64.796462,0.000000,0.233601
0.020000,130.483545,217.564717,71.930552,96.546728,64.796462,0.000000,0.239553
0.020000,132.370676,218.031033,73.874446,97.842658,64.796462,-0.000000,0.244820
0.020000,134.280625,218.512953,75.844259,99.138587,64.796462,0.000000,0.249372
0.020000,136.213648,219.009300,77.839990,100.434516,64.796462,0.000000,0.253179
0.020000,138.170044,219.518791,79.861639,101.730445,64.796462,0.000000,0.256211
0.020000,140.150157,220.040024,81.909208,103.026375,64.796462,-0.000000,0.258437
0.020000,142.154378,220.571480,83.982694,104.322304,64.796462,0.000000,0.259824
0.020000,144.183137,221.111516,86.082100,105.618233,64.796462,0.000000,0.260342
0.020000,146.236906,221.658360,88.207424,106.914162,64.796462,-0.000000,0.259957
0.020000,148.316190,222.210101,90.358666,108.210092,64.796462,0.000000,0.258635
0.020000,150.421531,222.764691,92.535827,109.506021,64.796462,-0.000000,0.256343
0.020000,152.553494,223.319929,94.738907,110.801950,64.796462,0.000000,0.253044
0.020000,154.712667,223.873459,96.967905,112.097879,64.796462,-0.000000,0.248703
0.020000,156.899652,224.422763,99.222822,113.393808,64.796462,0.000000,0.243283
0.020000,159.115054,224.965152,101.503658,114.689738,64.796462,-0.000000,0.236747
0.020000,161.359473,225.497760,103.810412,115.985667,64.796462,0.000000,0.229059
0.020000,163.633491,226.017538,106.143084,117.281596,64.796462,0.000000,0.220181
