dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,59.143859,223.676576,0.006480,0.647965,32.398231,1619.911550,0.000017
0.020000,59.143996,223.676576,0.006616,0.006808,-32.057827,-3222.802897,0.000005
0.020000,59.183596,223.676575,0.046216,1.980019,98.660565,6535.919602,6.283168
0.020000,59.261750,223.676573,0.124370,3.907693,96.383669,-113.844784,6.283135
0.020000,59.365943,223.676565,0.228563,5.209652,65.097940,-1564.286462,6.283092
0.020000,59.496165,223.676549,0.358785,6.511091,65.071970,-1.298524,6.283039
0.020000,59.652402,223.676522,0.515023,7.811882,65.039534,-1.621783,6.282979
0.020000,59.834640,223.676478,0.697260,9.111894,65.000602,-1.946621,6.282912
0.020000,60.042860,223.676414,0.905480,10.410997,64.955186,-2.270794,6.282839
0.020000,60.277041,223.676323,1.139662,11.709063,64.903272,-2.595689,6.282763
0.020000,60.537161,223.676203,1.399781,13.005961,64.844884,-2.919381,6.282685
0.020000,60.823192,223.676049,1.685812,14.301561,64.780003,-3.244056,6.282608
0.020000,61.135106,223.675857,1.997727,15.595733,64.708642,-3.568043,6.282534
0.020000,61.472873,223.675625,2.335494,16.888349,64.630788,-3.892732,6.282465
0.020000,61.836459,223.675351,2.699079,18.179278,64.546455,-4.216645,6.282404
0.020000,62.225826,223.675037,3.088447,19.468391,64.455630,-4.541253,6.282355
0.020000,62.640937,223.674685,3.503558,20.755557,64.358322,-4.865407,6.282321
0.020000,63.081750,223.674299,3.944371,22.040648,64.254524,-5.189901,6.282304
0.020000,63.548221,223.673889,4.410842,23.323533,64.144237,-5.514345,6.282310
0.020000,64.040302,223.673464,4.902923,24.604082,64.027459,-5.838890,6.282341
0.020000,64.557945,223.673042,5.420567,25.882165,63.904188,-6.163562,6.282401
0.020000,65.101098,223.672640,5.963720,27.157654,63.774418,-6.488489,6.282496
0.020000,65.669706,223.672285,6.532328,28.430417,63.638146,-6.813586,6.282629
0.020000,66.263713,223.672005,7.126335,29.700324,63.495377,-7.138464,6.282806
0.020000,66.883058,223.671838,7.745680,30.967246,63.346084,-7.464624,6.283031
0.020000,67.527679,223.671826,8.390301,32.231052,63.190285,-7.789958,0.000125
0.020000,68.197511,223.672020,9.060133,33.491611,63.027959,-8.116296,0.000462
0.020000,68.892487,223.672478,9.755109,34.748793,62.859104,-8.442763,0.000864
0.020000,69.612536,223.673267,10.475158,36.002467,62.683710,-8.769721,0.001337
0.020000,70.357585,223.674463,11.220208,37.252502,62.501765,-9.097253,0.001886
0.020000,71.127558,223.676155,11.990183,38.498768,62.313284,-9.424034,0.002518
0.020000,71.922378,223.678438,12.785006,39.741133,62.118220,-9.753199,0.003239
0.020000,72.741961,223.681422,13.604595,40.979464,61.916596,-10.081210,0.004056
