dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,141.211050,207.910506,82.824613,102.901619,41.535104,-45.848534,0.256211
0.020000,143.216991,208.438536,84.898887,103.713742,40.606137,-46.448388,0.258437
0.020000,145.237309,208.974259,86.989027,104.506959,39.660847,-47.264508,0.259824
0.020000,147.272071,209.515893,89.094644,105.280892,38.696673,-48.208669,0.260342
0.020000,149.321373,210.061547,91.215347,106.035105,37.710671,-49.300110,0.259957
0.020000,151.385329,210.609223,93.350729,106.769129,36.701188,-50.474132,0.258635
0.020000,153.464065,211.156806,95.500379,107.482471,35.667111,-51.703862,0.256343
0.020000,155.557719,211.702070,97.663872,108.174649,34.608861,-52.912488,0.253044
0.020000,157.666431,212.242669,99.840776,108.845220,33.528561,-54.014999,0.248703
0.020000,159.790336,212.776135,102.030652,109.493811,32.429531,-54.951494,0.243283
0.020000,161.929558,213.299881,104.233056,110.120183,31.318602,-55.546451,0.236747
0.020000,164.084206,213.811194,106.447541,110.724278,30.204782,-55.691018,0.229059
0.020000,166.254361,214.307242,108.673667,111.306287,29.100462,-55.215980,0.220181
0.020000,168.440075,214.785070,110.911002,111.866731,28.022164,-53.914905,0.210077
0.020000,170.635392,215.240405,113.153042,112.102036,11.765284,-812.844035,0.198745
0.020000,172.823020,215.667048,115.381885,111.442140,-32.994825,-2238.005447,0.186267
0.020000,174.985871,216.059760,117.580100,109.910727,-76.570625,-2178.789996,0.172764
0.020000,177.161973,216.424860,119.786617,110.325857,20.756461,4866.354332,0.166700
0.020000,179.931719,216.953025,122.606272,140.982756,1532.844960,75604.424913,0.209272
0.020000,182.573307,217.564775,125.317770,135.574899,-270.392846,-90161.890268,0.244985
0.020000,185.092561,218.234943,127.924640,130.343487,-261.570612,441.111664,0.274135
0.020000,187.497280,218.942171,130.431199,125.327984,-250.775126,539.774313,0.297083
0.020000,189.795934,219.668510,132.841880,120.534009,-239.698779,553.817370,0.314198
0.020000,191.996825,220.398882,135.160794,115.945726,-229.414148,514.231525,0.325824
0.020000,194.107584,221.120557,137.391516,111.536070,-220.482767,446.569082,0.332261
0.020000,196.134908,221.822687,139.536982,107.273339,-213.136559,367.310358,0.333752
0.020000,198.084439,222.495947,141.599493,103.125536,-207.390171,287.319431,0.330490
0.020000,199.960744,223.132262,143.580760,99.063331,-203.110241,213.996505,0.322618
0.020000,201.767353,223.724632,145.482006,95.062331,-200.049980,153.013045,0.310239
0.020000,203.506844,224.267027,147.304099,91.104630,-197.885070,108.245497,0.293423
0.020000,205.180973,224.754360,149.047717,87.180893,-196.186843,84.911339,0.272229
0.020000,206.790850,225.182497,150.713552,83.291742,-194.457573,86.463511,0.246714
0.020000,208.337167,225.548317,152.302551,79.449958,-192.089163,118.420517,0.216957
0.020000,209.820477,225.849763,153.816182,75.681577,-188.419055,183.505371,0.183081
0.020000,211.241531,226.085880,155.256718,72.026804,-182.738662,284.019651,0.145274
0.020000,212.601612,226.256788,156.627495,68.538856,-174.397402,417.062990,0.103815
0.020000,213.902859,226.363576,157.933117,65.281074,-162.889110,575.414628,0.059087
0.020000,215.148485,226.408091,159.179538,62.321066,-148.000392,744.435882,0.011586
0.020000,216.342838,226.392647,160.373991,59.722613,-129.922619,903.888649,6.245100
0.020000,217.491249,226.319714,161.524715,57.536237,-109.318821,1030.189892,6.193946
0.020000,218.599691,226.191630,162.640533,55.790906,-87.266568,1102.612672,6.142042
0.020000,219.674284,226.010437,163.730295,54.488086,-65.140981,1106.279342,6.090126
0.020000,220.720774,225.777844,164.802321,53.601318,-44.338425,1040.127796,6.038892
0.020000,221.744087,225.495331,165.863916,53.079737,-26.079022,912.970162,5.988948
0.020000,222.748060,225.164323,166.921048,52.856602,-11.156742,746.114010,5.940790
0.020000,223.735320,224.786398,167.978171,52.856156,-0.022325,556.720850,5.894792
0.020000,224.707410,224.363424,169.038297,53.006280,7.506201,376.426262,5.851202
0.020000,226.074440,223.726000,170.546634,75.416835,1120.527760,55651.077950,5.851018
0.020000,227.555560,223.050523,172.174511,81.393891,298.852780,-41083.748957,5.859055
0.020000,228.979740,222.411844,173.735345,78.041654,-167.611856,-23323.231821,5.863664
0.020000,230.347079,221.803583,175.231873,74.826433,-160.761047,342.540460,5.865074
0.020000,231.657584,221.220445,176.666262,71.719459,-155.348654,270.619624,5.863466
0.020000,232.911137,220.658066,178.040186,68.696183,-151.163825,209.241447,5.858978
0.020000,234.107494,220.112889,179.354905,65.735961,-148.011094,157.636585,5.851718
0.020000,235.246287,219.582063,180.611340,62.821719,-145.712089,114.950229,5.841760
0.020000,236.327063,219.063375,181.810136,59.939840,-144.093974,80.905740,5.829159
0.020000,237.349315,218.555181,182.951740,57.080191,-142.982456,55.575898,5.813952
0.020000,238.312537,218.056365,184.036459,54.235928,-142.213138,38.465924,5.796166
0.020000,239.216294,217.566287,185.064541,51.404129,-141.589950,31.159377,5.775819
0.020000,240.060294,217.084739,186.036253,48.585585,-140.927188,33.138104,5.752935
0.020000,240.844477,216.611890,186.951966,45.785646,-139.996983,46.510235,5.727545
0.020000,241.569113,216.148224,187.812247,43.014029,-138.580845,70.806931,5.699695
0.020000,242.234888,215.694457,188.617952,40.285280,-136.437443,107.170081,5.669458
0.020000,242.842999,215.251434,189.370327,37.618733,-133.327314,155.506451,5.636937
0.020000,243.395214,214.820019,190.071084,35.037850,-129.044194,214.156018,5.602274
0.020000,243.893909,214.400961,190.722472,32.569405,-123.422244,281.097508,5.565657
0.020000,244.342056,213.994771,191.327308,30.241814,-116.379513,352.136552,5.527321
0.020000,244.743164,213.601604,191.888973,28.083238,-107.928821,422.534606,5.487547
0.020000,245.101156,213.221184,192.411350,26.118854,-98.219217,485.480159,5.446658
0.020000,245.420217,212.852767,192.898721,24.368551,-87.515123,535.204737,5.405013
0.020000,245.704600,212.495169,193.355613,22.844589,-76.198136,565.849324,5.362987
0.020000,245.958439,212.146847,193.786615,21.550090,-64.724909,573.661371,5.320964
0.020000,246.185581,211.806035,194.196183,20.478393,-53.584869,557.001966,5.279314
0.020000,246.389456,211.470894,194.588464,19.614091,-43.215084,518.489272,5.238383
0.020000,246.573012,211.139676,194.967144,18.933968,-34.006160,460.446190,5.198478
0.020000,246.738692,210.810863,195.335339,18.409779,-26.209466,389.834702,5.159860
0.020000,246.888471,210.483272,195.695547,18.010384,-19.969758,311.985420,5.122735
0.020000,247.023915,210.156109,196.049639,17.704584,-15.290001,233.987829,5.087261
0.020000,247.146258,209.828992,196.398885,17.462320,-12.113159,158.842085,5.053542
0.020000,247.256490,209.501929,196.744025,17.257002,-10.265899,92.362998,5.021641
0.020000,247.355430,209.175267,197.085342,17.065833,-9.558453,35.372339,4.991581
0.020000,247.443784,208.849639,197.422744,16.870094,-9.786989,-11.426832,4.963355
0.020000,247.522197,208.525900,197.755843,16.654982,-10.755598,-48.430410,4.936930
0.020000,247.591284,208.205061,198.084036,16.409657,-12.266207,-75.530486,4.912256
0.020000,247.651651,207.888225,198.406572,16.126784,-14.143697,-93.874480,4.889269
0.020000,247.703901,207.576555,198.722592,15.800990,-16.289702,-107.300265,4.867900
0.020000,247.748648,207.271223,199.031185,15.429634,-18.567782,-113.904001,4.848072
0.020000,247.786507,206.973368,199.331436,15.012570,-20.853198,-114.270765,4.829708
0.020000,247.818093,206.684112,199.622412,14.548796,-23.188701,-116.775150,4.812731
0.020000,247.844017,206.404506,199.903217,14.040266,-25.426477,-111.888836,4.797068
0.020000,247.864882,206.135528,200.173003,13.489299,-27.548357,-106.093971,4.782645
0.020000,247.881274,205.878095,200.430957,12.897696,-29.580139,-101.589101,4.769395
0.020000,247.893758,205.633056,200.676314,12.267831,-31.493297,-95.657914,4.757257
0.020000,247.902874,205.401166,200.908383,11.603468,-33.218147,-86.242525,4.746170
0.020000,247.909135,205.183138,201.126502,10.905922,-34.877282,-82.956745,4.736081
0.020000,247.913024,204.979581,201.330095,10.179665,-36.312866,-71.779161,4.726941
0.020000,247.914988,204.791062,201.518625,9.426490,-37.658754,-67.294441,4.718706
0.020000,247.915440,204.618087,201.691600,8.648764,-38.886285,-61.376525,4.711335
0.020000,247.914759,204.461080,201.848608,7.850429,-39.916726,-51.522065,4.704793
0.020000,247.913286,204.320433,201.989263,7.032749,-40.883998,-48.363589,4.699048
0.020000,247.911323,204.196478,202.113234,6.198542,-41.710379,-41.319063,4.694072
0.020000,247.909136,204.089501,202.220233,5.349950,-42.429612,-35.961634,4.689842
0.020000,247.906954,203.999739,202.310022,4.489422,-43.026391,-29.838946,4.686338
0.020000,247.904968,203.927385,202.382403,3.619044,-43.518880,-24.624448,4.683543
0.020000,247.903329,203.872603,202.437209,2.740332,-43.935617,-20.836881,4.681444
0.020000,247.902154,203.835500,202.474331,1.856078,-44.212675,-13.852877,4.680030
0.020000,247.901521,203.816153,202.493689,0.967891,-44.409385,-9.835490,4.679295
0.020000,247.901335,203.810539,202.499306,0.280858,-34.351610,502.888749,4.679083
0.020000,247.901322,203.810152,202.499692,0.019329,-13.076447,1063.758134,4.679068
0.020000,247.901322,203.810152,202.499692,0.000000,-0.966471,605.498819,4.679068
