dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,59.144263,199.676576,0.006458,0.645774,32.288698,1614.434913,0.000017
0.020000,59.144127,199.676576,0.006593,0.006785,-31.949440,-3211.906893,0.000005
0.020000,59.182904,199.676575,0.045370,1.938852,96.603356,6427.639791,6.283168
0.020000,59.260000,199.676573,0.122467,3.854804,95.797576,-40.289006,6.283135
0.020000,59.362807,199.676565,0.225273,5.140340,64.276817,-1576.037962,6.283092
0.020000,59.491335,199.676550,0.353801,6.426392,64.302583,1.288317,6.283040
0.020000,59.645597,199.676523,0.508063,7.713088,64.334817,1.611671,6.282980
0.020000,59.825608,199.676480,0.688074,9.000558,64.373483,1.933303,6.282913
0.020000,60.031386,199.676416,0.893853,10.288930,64.418597,2.255730,6.282840
0.020000,60.262953,199.676327,1.125419,11.578333,64.470152,2.577724,6.282764
0.020000,60.520331,199.676209,1.382797,12.868896,64.528145,2.899642,6.282686
0.020000,60.803546,199.676056,1.666012,14.160748,64.592595,3.222508,6.282609
0.020000,61.112626,199.675866,1.975093,15.454017,64.663473,3.543928,6.282535
0.020000,61.447603,199.675637,2.310069,16.748833,64.740794,3.866035,6.282466
0.020000,61.808509,199.675366,2.670976,18.045324,64.824569,4.188767,6.282406
0.020000,62.195381,199.675054,3.057848,19.343620,64.914776,4.510338,6.282356
0.020000,62.608258,199.674704,3.470725,20.643848,65.011426,4.832519,6.282321
0.020000,63.047181,199.674321,3.909648,21.946139,65.114525,5.154948,6.282305
0.020000,63.512193,199.673911,4.374660,23.250620,65.224067,5.477058,6.282309
0.020000,64.003341,199.673487,4.865809,24.557421,65.340056,5.799491,6.282339
0.020000,64.520674,199.673064,5.383142,25.866671,65.462494,6.121868,6.282399
0.020000,65.064244,199.672660,5.926712,27.178499,65.591389,6.444741,6.282492
0.020000,65.634105,199.672301,6.496573,28.493034,65.726741,6.767604,6.282624
0.020000,66.230313,199.672016,7.092781,29.810405,65.868541,7.090030,6.282798
0.020000,66.852928,199.671842,7.715396,31.130741,66.016829,7.414377,6.283021
0.020000,67.502011,199.671823,8.364479,32.454172,66.171565,7.736827,0.000111
0.020000,68.177628,199.672008,9.040096,33.780829,66.332800,8.061753,0.000446
0.020000,68.879844,199.672458,9.742312,35.110839,66.500520,8.385974,0.000844
0.020000,69.608730,199.673241,10.471199,36.444333,66.674708,8.709419,0.001312
0.020000,70.364358,199.674434,11.226828,37.781442,66.855424,9.035799,0.001857
0.020000,71.146802,199.676128,12.009274,39.122294,67.042635,9.360535,0.002483
0.020000,71.956140,199.678422,12.818614,40.467022,67.236365,9.686504,0.003198
0.020000,72.792449,199.681431,13.654929,41.815754,67.436604,10.011957,0.004009
0.020000,73.655813,199.685280,14.518302,43.168622,67.643395,10.339529,0.004921
0.020000,74.546315,199.690111,15.408817,44.525755,67.856693,10.664918,0.005943
0.020000,75.464041,199.696081,16.326563,45.887285,68.076503,10.990481,0.007082
0.020000,76.409080,199.703363,17.271629,47.253342,68.302848,11.317246,0.008344
0.020000,77.381522,199.712148,18.244111,48.624056,68.535704,11.642812,0.009739
0.020000,78.381458,199.722645,19.244102,49.999557,68.775023,11.965979,0.011273
0.020000,79.408982,199.735085,20.271701,51.379973,69.020803,12.288973,0.012956
0.020000,80.464189,199.749718,21.327010,52.765433,69.273010,12.610344,0.014795
0.020000,81.547175,199.766817,22.410131,54.156064,69.531554,12.927234,0.016800
0.020000,82.658038,199.786680,23.521171,55.551991,69.796358,13.240168,0.018978
0.020000,83.796873,199.809628,24.660238,56.953339,70.067362,13.550206,0.021339
0.020000,84.963780,199.836010,25.827442,58.360227,70.344406,13.852224,0.023893
0.020000,86.158854,199.866203,27.022898,59.772774,70.627347,14.147043,0.026648
0.020000,87.382192,199.900611,28.246720,61.191094,70.915991,14.432183,0.029615
0.020000,88.633888,199.939671,29.499026,62.615295,71.210091,14.705014,0.032802
0.020000,89.914036,199.983852,30.779935,64.045483,71.509370,14.963957,0.036221
0.020000,91.222724,200.033654,32.089570,65.481753,71.813513,15.207143,0.039881
0.020000,92.560037,200.089616,33.428054,66.924193,72.122011,15.424873,0.043792
0.020000,93.926057,200.152311,34.795512,68.372885,72.434571,15.628037,0.047966
0.020000,95.320857,200.222351,36.192070,69.827892,72.750345,15.788693,0.052411
0.020000,96.744505,200.300388,37.617855,71.289269,73.068879,15.926696,0.057140
0.020000,98.197060,200.387114,39.072996,72.757058,73.389451,16.028596,0.062163
0.020000,99.678569,200.483264,40.557622,74.231278,73.710978,16.076329,0.067490
0.020000,101.189068,200.589617,42.071860,75.711924,74.032310,16.066594,0.073132
0.020000,102.728579,200.706998,43.615840,77.198981,74.352867,16.027867,0.079100
0.020000,104.297108,200.836276,45.189688,78.692388,74.670330,15.873137,0.085405
0.020000,105.850305,200.975287,46.749093,77.970260,-36.106408,-5538.836878,0.094442
0.020000,107.541190,201.146156,48.448590,84.974848,350.229434,19316.792081,0.106913
0.020000,109.252574,201.340475,50.170970,86.118992,57.207174,-14651.112963,0.119138
0.020000,110.983778,201.558270,51.915821,87.242549,56.177855,-51.465952,0.131083
0.020000,112.734150,201.799473,53.682733,88.345611,55.153080,-51.238766,0.142714
0.020000,114.503058,202.063918,55.471299,89.428301,54.134541,-50.926963,0.153997
0.020000,116.289903,202.351345,57.281113,90.490715,53.120677,-50.693192,0.164898
0.020000,118.094118,202.661398,59.111775,91.533100,52.119250,-50.071351,0.175384
0.020000,119.915174,202.993622,60.962889,92.555669,51.128434,-49.540787,0.185421
0.020000,121.752587,203.347467,62.834062,93.558687,50.150893,-48.877059,0.194977
0.020000,123.605912,203.722288,64.724910,94.542396,49.185497,-48.269814,0.204020
0.020000,125.474755,204.117343,66.635051,95.507061,48.233236,-47.613029,0.212519
0.020000,127.358765,204.531796,68.564109,96.452901,47.291979,-47.062858,0.220441
0.020000,129.257642,204.964715,70.511712,97.380113,46.360611,-46.568388,0.227756
0.020000,131.171135,205.415076,72.477489,98.288848,45.436740,-46.193581,0.234432
0.020000,133.099039,205.881756,74.461073,99.179201,44.517640,-45.954970,0.240440
0.020000,135.041198,206.363541,76.462097,100.051205,43.600237,-45.870161,0.245749
0.020000,136.997500,206.859117,78.480193,100.904824,42.680928,-45.965463,0.250328
0.020000,138.967877,207.367075,80.514992,101.739944,41.756027,-46.245037,0.254146
0.020000,140.952300,207.885908,82.566120,102.556389,40.822208,-46.690959,0.257172
0.020000,142.950780,208.414006,84.633198,103.353885,39.874810,-47.369910,0.259375
0.020000,144.963360,208.949658,86.715840,104.132106,38.911052,-48.187872,0.260722
0.020000,146.990110,209.491046,88.813653,104.890651,37.927239,-49.190642,0.261181
0.020000,149.031129,210.036246,90.926234,105.629067,36.920815,-50.321202,0.260717
0.020000,151.086532,210.583222,93.053171,106.346864,35.889835,-51.549020,0.259298
0.020000,153.156448,211.129823,95.194042,107.043531,34.833371,-52.823208,0.256887
0.020000,155.241016,211.673782,97.348413,107.718571,33.752021,-54.067487,0.253449
